Eng_Calender,Choke_well_1,WHT_well_1,WHP_well_1,Oil_Rate_well_1,delta_Q_well_1,Water_Rate_well_1,BS&W_well_1,Gas_Rate_well_1,GOR_well_1,Choke_well_2,WHT_well_2,WHP_well_2,Oil_Rate_well_2,delta_Q_well_2,Water_Rate_well_2,BS&W_well_2,Gas_Rate_well_2,GOR_well_2,Choke_well_3,WHT_well_3,WHP_well_3,Oil_Rate_well_3,delta_Q_well_3,Water_Rate_well_3,BS&W_well_3,Gas_Rate_well_3,GOR_well_3,Choke_well_4,WHT_well_4,WHP_well_4,Oil_Rate_well_4,delta_Q_well_4,Water_Rate_well_4,BS&W_well_4,Gas_Rate_well_4,GOR_well_4,total_oil_rate
1999-01-19,44.0,76.4,1785.58,7409.0,-15.875706214689265,3.29,0.04438574313741098,6936.0,936.1587258739371,60.0,79.0,1378.9499999999998,11092.0,-34.80487804878047,31.95,0.0,8730.6,787.1078254597909,44.0,74.6,1541.35,7888.0,-27.112994350282477,8.96,0.1139673,5892.0,746.9574036511157,62.0,80.45066666666666,1286.15,10874.0,-43.344632768361585,0.0,0.0,9600.0,882.8398013610447,37263.0
1999-01-20,50.0,83.65705128205128,1683.38,9205.0,1796.0,0.0,0.0,9420.0,1023.3568712656165,64.0,80.0,1326.75,11784.0,692.0,0.0,0.0,10063.2,853.9714867617108,52.0,80.0,1442.75,8933.0,1045.0,0.0,0.0,7174.2,803.1120564200156,62.0,80.0,1316.6,10280.0,-594.0,0.0,0.0,9200.0,894.9416342412451,40202.0
1999-01-21,55.0,83.65705128205128,1566.58,10454.0,1249.0,0.0,0.0,10812.0,1034.2452649703462,64.0,80.0,1338.35,11637.0,-147.0,0.0,0.0,9968.0,856.5781558821002,52.0,80.0,1339.8000000000002,9558.0,625.0,0.0,0.0,7778.4,813.8104205900817,62.0,80.0,1307.9,10243.0,-37.0,0.0,0.0,9200.0,898.1743629795958,41892.0
1999-01-22,55.0,83.65705128205128,1576.8,10006.0,-448.0,0.0,0.0,10832.0,1082.550469718169,64.0,80.0,1363.0,11305.0,-332.0,0.0,0.0,9763.2,863.6178681999115,52.0,80.0,1370.25,8896.0,-662.0,0.0,0.0,7457.6,838.3093525179856,62.0,80.0,1296.3000000000002,10209.0,-34.0,0.0,0.0,9120.0,893.3294152218631,40416.0
1999-01-25,55.0,83.65705128205128,1575.34,9877.0,-129.0,0.0,0.0,10976.0,1111.268603827073,72.0,80.0,1138.25,13307.0,2002.0,0.0,0.0,11945.6,897.6929435635379,52.0,80.0,1377.5,8725.0,-171.0,0.0,0.0,7348.8,842.269340974212,50.0,80.45066666666666,1595.0,9524.0,-685.0,0.0,0.0,8119.2,852.4989500209996,41433.0
1999-01-26,55.0,83.65705128205128,1576.8,9704.0,-173.0,0.0,0.0,11059.2,1139.653751030503,72.0,80.0,1158.5500000000002,12916.0,-391.0,0.0,0.0,11696.64,905.5930628677609,64.0,80.0,1080.25,11229.0,2504.0,0.0,0.0,9611.2,855.926618576899,58.0,80.45066666666666,1432.6,10456.0,932.0,0.0,0.0,8932.8,854.3228768171385,44305.0
1999-01-27,55.0,83.65705128205128,1554.9,9542.0,-162.0,0.0,0.0,10624.0,1113.3934185705302,68.0,92.8,1187.5500000000002,12386.0,-530.0,0.0,0.0,11313.0,913.3699337962215,64.0,80.0,1115.0500000000002,11417.0,188.0,0.0,0.0,9534.4,835.1055443636682,58.0,80.45066666666666,1389.1,9844.0,-612.0,0.0,0.0,8956.0,909.7927671678179,43189.0
1999-01-28,55.0,83.65705128205128,1610.38,8895.0,-647.0,0.0,0.0,10812.0,1215.514333895447,70.0,93.0,1102.0,13477.0,1091.0,0.0,0.0,11968.8,888.0908213994212,68.0,80.0,1084.6,11195.0,-222.0,0.0,0.0,10518.4,939.562304600268,58.0,80.45066666666666,1407.9499999999998,8519.0,-1325.0,0.0,0.0,8752.0,1027.350628007982,42086.0
1999-01-31,50.0,83.65705128205128,1679.0,8243.0,-652.0,0.0,0.0,9976.0,1210.2389906587407,60.0,91.7,1305.0,12291.0,-1186.0,0.0,0.0,10702.4,870.7509559840533,64.0,90.2,1128.1,10779.0,-416.0,0.0,0.0,10436.4,968.2159755079321,58.0,80.45066666666666,1413.75,8401.0,-118.0,0.0,0.0,8820.0,1049.875014879181,39714.0
1999-02-02,45.0,83.65705128205128,1807.48,7528.0,-715.0,0.0,0.0,8732.0,1159.9362380446335,60.0,92.2,1386.1999999999998,11243.0,-1048.0,3.8832,0.04,9720.0,864.5379347149337,40.0,86.4,1609.5,7135.0,-3644.0,0.0,0.0,6903.0,967.4842326559215,64.0,80.45066666666666,1326.75,9266.0,865.0,0.0,0.0,9774.0,1054.8240880638896,35172.0
